,contrast_0,contrast_45,contrast_90,contrast_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,label
130,776.174354745347,695.7624866048964,617.6626116719345,796.7505998695774,0.330127386523483,0.39968512797070743,0.4673099861617996,0.31254573823697324,0.09794184181600527,0.10142929913384104,0.10856154840054918,0.09538869135744649,0.0217226139452556,0.022159058952768765,0.022932567961526096,0.02164989018871966,normal
131,871.6437702545858,875.2076218376334,694.8656137603534,854.4161988073081,0.2786123163295318,0.27643626326357834,0.42663703874546743,0.2935637702496069,0.05781111445981168,0.057977957898876095,0.07294126334605142,0.05924063476279948,0.014285298435048716,0.014317647337141658,0.015377369913291942,0.014388612790712667,normal
132,821.0613194443886,749.5586503518227,641.416272189405,857.9172820668631,0.2781893205105768,0.3406926475207442,0.43610366694307334,0.24531773594500503,0.06013335556589631,0.06663759684902228,0.07495145158983972,0.058342701507378775,0.014667677907620576,0.015119089044404947,0.01576124411106809,0.014514452922514727,normal
133,1143.9231163194077,1220.3132658529191,775.9045625943189,854.4663286819589,0.40644493966931183,0.366124961178629,0.5968204709115484,0.5561606090005222,0.13116285886820406,0.1281716048461258,0.14132940259041546,0.1383009368984863,0.03764812841798911,0.03737028204285068,0.03878086729814338,0.03846499232380854,normal
134,399.9788377825327,373.82194386600673,407.321860387928,548.0507548151619,0.5780048988348538,0.6053734503134773,0.5700751816616625,0.4214468960309764,0.11641204041057719,0.11268364098163347,0.11045230529072006,0.10322877435587301,0.024295939004312088,0.023979829698750333,0.023767688937974058,0.02327539565894973,normal
135,585.8078153934841,625.0843806784088,576.6548033414919,603.028729674349,0.6227445757119322,0.5984458487154645,0.6299665714864904,0.6126207846753076,0.15269704937774317,0.15630374777321632,0.156826172225885,0.14554560116058682,0.03259877258690221,0.03268041488436041,0.03298283019734781,0.03208136724226473,normal
136,1491.1902112267462,2573.1379496111404,2362.7182880846476,1779.2203181057228,0.6818053940746502,0.44815299511603524,0.492935732845844,0.6184184587171668,0.07888472834636959,0.05846907155101484,0.06115305076576897,0.07074789866216,0.014801360484710119,0.013354054571334937,0.013546183810442543,0.014201121559237967,normal
137,772.7372945601229,779.4294192331781,576.2912721894231,711.2272631972081,0.8004419337902511,0.7985730842221912,0.8510389233594897,0.8161998730266157,0.17019416703519175,0.17119754195613726,0.17945165698538648,0.17296924914416587,0.04434594360630958,0.04456713714139954,0.0453315854394253,0.0447211485189688,normal
138,785.2672699849714,1282.034442994989,1364.7823350693884,1188.9347365233764,0.6954577653501569,0.5013207537460852,0.4685637047825106,0.5375362952476551,0.0865408645772349,0.06902526184810838,0.06760827052412456,0.07171292567826665,0.016057457946119513,0.014741302489018664,0.014523775603584402,0.014923879495282382,normal
139,1226.2641869212314,1423.3315269301575,1192.252955679406,984.0446495131888,0.45950023242420934,0.3736080329165588,0.47537254500818693,0.5669243899175863,0.11930550379764863,0.11358139195026593,0.12049515515530516,0.12440577025403851,0.03473556330073833,0.03406666413980512,0.034972342127282965,0.03518385918444137,normal
140,925.2126157407056,944.5755049387694,677.9623941292912,815.3587278106861,0.3910414781231002,0.37692864178505264,0.5533137817360643,0.4621328077372933,0.0883090278230765,0.08808434843736974,0.10066998878935503,0.09354986571710519,0.020608147543827674,0.02065352846948606,0.02183058912062421,0.021103241651545777,normal
141,285.3889169165279,267.63935739486277,215.68932344282643,311.46006492565976,0.9412635608608083,0.9449315990880555,0.9557001117905705,0.9359138567869172,0.2627750846688752,0.2664887717299809,0.27439550430445,0.26003435396747665,0.07314482558085943,0.07321578081728698,0.07355669585076259,0.07300973884301211,normal
142,906.106611689788,932.6141091646601,631.2221806474478,754.5761310162042,0.350011963018231,0.33141226959185854,0.5484323964405878,0.4590614286958505,0.09085070483404818,0.0886949212015175,0.10266529328211699,0.09736308578419402,0.020673418937951524,0.0205420798766425,0.021765842337762097,0.021226353859873294,normal
143,435.67204571756946,395.13419314636445,415.64157674906807,506.4551000559323,0.6527621739774235,0.6855829705667191,0.670269258750068,0.596874412838067,0.1674477292405562,0.177491877129794,0.1723087813854398,0.15593430174349865,0.034829008126636044,0.03540951668931012,0.035048492437826095,0.0338110780858268,normal
144,1354.6984837961782,1343.9725020967828,1200.4693699966178,1368.0799631926125,0.3045033339935647,0.31061362168286094,0.38657710162985376,0.29818556565025955,0.10706465774976599,0.10742521496809591,0.11377580197052722,0.1065818422642873,0.02253755091602427,0.022684811262873347,0.02338591344510659,0.022418295779296875,normal
145,536.3458043981084,520.808364976981,549.58256468273,594.7537448167096,0.445670559127492,0.4625450535787355,0.43326335537969723,0.3862426221547678,0.1470584690441796,0.14985974497261897,0.14820079074852036,0.1403196683336792,0.03483414506369007,0.034889864086692715,0.034903358353165305,0.03423531278391227,normal
146,1337.946041666566,1295.3344593021566,1033.496742661657,1280.8719715324976,0.5257591435998954,0.5407121640879056,0.6326324497971979,0.5458367249169791,0.21287876222186927,0.215971731858771,0.22240277941868122,0.2131536377965976,0.06960161106811305,0.07024157212559257,0.07093387476964763,0.0697973084100734,normal
147,399.9788377825327,373.82194386600673,407.321860387928,548.0507548151619,0.5780048988348538,0.6053734503134773,0.5700751816616625,0.4214468960309764,0.11641204041057719,0.11268364098163347,0.11045230529072006,0.10322877435587301,0.024295939004312088,0.023979829698750333,0.023767688937974058,0.02327539565894973,normal
148,822.4949074073658,704.5915616409927,661.064375217594,919.144452080368,0.6712525606785805,0.7187954477004597,0.7367469201490346,0.633170707433259,0.10703261898190453,0.11640546410348136,0.11870430106976558,0.10281321110720465,0.02508430647568229,0.02603886105818025,0.026210028357282856,0.024709747584478192,normal
149,469.8944635032411,436.8542953611674,405.62180193962973,568.5454544796818,0.5369615711352579,0.5693191518556149,0.6002282861813429,0.43948322756283076,0.11132376355910678,0.10949033837506679,0.1083897931856229,0.09943607379957077,0.022949408240527228,0.022823759392834906,0.022662063445940944,0.0220212599440455,normal
150,852.460156249935,858.0241199972758,795.4011399234998,841.6471631412852,0.36594432562963675,0.3625551959224048,0.4107358124628645,0.37472951296690143,0.1085733037197342,0.11173448490784614,0.11579988442542727,0.10691266926817458,0.023935801956314454,0.024378052556938336,0.024938336341191077,0.023707237459622877,normal
